,Country,Internet Access Rate
0,Afghanistan,0.10377991454005989
1,Albania,0.6752283734124775
2,Algeria,0.4300340131256614
3,Angola,0.12986918879802448
4,Antigua and Barbuda,0.779703153596327
5,Argentina,0.7138750010093973
6,Armenia,0.6409773219724088
7,Aruba,0.9349778777938821
8,Australia,0.8800135108617465
9,Austria,0.8408656480937584
10,Azerbaijan,0.7794005459420617
11,Bahrain,0.9795734437936556
12,Bangladesh,0.18822252258708
13,Barbados,0.7932686251732005
14,Belarus,0.7095219571913335
15,Belgium,0.8672231958177888
16,Belize,0.44400651465798047
17,Benin,0.11994306142521013
18,Bhutan,0.45234685608564573
19,Bolivia,0.3917958906663846
20,Bosnia and Herzegovina,0.6258316311147349
21,Botswana,0.4100893356494428
22,Brazil,0.6131242630287334
23,Bulgaria,0.5985636285530138
24,Burkina Faso,0.13960040925910652
25,Burundi,0.05191448358399763
26,Cambodia,0.32390391324073453
27,Cameroon,0.24490784061999105
28,Canada,0.9161526443175446
29,Central African Republic,0.04050191209750695
30,Chad,0.04962529699554982
31,Chile,0.8218646885167324
32,China,0.541583484022587
33,Colombia,0.5871823674931378
34,Comoros,0.07938365393317177
35,Costa Rica,0.6546173008840978
36,Cote d'Ivoire,0.40990661265546824
37,Croatia,0.7337503404722509
38,Cuba,0.4351415588504707
39,Curacao,0.6174215853291913
40,Cyprus,0.7589633109921747
41,Czech Republic,0.7680413600481226
42,Denmark,0.9669455884329811
43,Djibouti,0.13321860012571143
44,Dominican Republic,0.6541210914714857
45,Ecuador,0.5371527031374167
46,El Salvador,0.2894497496359034
47,Equatorial Guinea,0.23903474302962774
48,Estonia,0.8701532919386832
49,Ethiopia,0.15188889224892121
50,Fiji,0.47912251160306235
51,Finland,0.8782860562920735
52,France,0.76733875295529
53,French Polynesia,0.6984466903396158
54,Gabon,0.47380088282476035
55,Georgia,0.6240622078307071
56,Germany,0.8917463863320001
57,Ghana,0.343310285048641
58,Greece,0.7170208605795245
59,Grenada,0.543646438904055
60,Guam,0.7698387858926916
61,Guatemala,0.345080944047721
62,Guinea,0.10348912602619036
63,Guinea-Bissau,0.038316080736654365
64,Guyana,0.35749566353715356
65,Haiti,0.12240910260821755
66,Honduras,0.29488948898125783
67,Hungary,0.7876883924156282
68,Iceland,0.9737180232471477
69,India,0.29539617549722397
70,Indonesia,0.25407306552179354
71,Iraq,0.21573257735621718
72,Ireland,0.8448809600164867
73,Israel,0.7635205944301428
74,Italy,0.601129292849921
75,Jamaica,0.439870031291312
76,Japan,0.9373597336029744
77,Jordan,0.6167819037641025
78,Kazakhstan,0.7539958148943565
79,Kenya,0.164002925404032
80,Kiribati,0.13927695424976005
81,Kuwait,0.802629753343107
82,Latvia,0.802899868693472
83,Lebanon,0.6812088472253741
84,Lesotho,0.29058540212751705
85,Liberia,0.07362254370596592
86,Libya,0.19651043935427387
87,Lithuania,0.75414358188026
88,Luxembourg,0.9707996714855657
89,Madagascar,0.047136944161694325
90,Malawi,0.12060849428335671
91,Malaysia,0.8007846163853612
92,Maldives,0.5315774752740724
93,Mali,0.11130377125979012
94,Malta,0.7287726526058732
95,Mauritania,0.18594371992638944
96,Mauritius,0.521358984323369
97,Mexico,0.6157144113204198
98,Moldova,0.8114750359942724
99,Mongolia,0.22054771707119483
100,Montenegro,0.7059053226482919
101,Morocco,0.5852088418317718
102,Mozambique,0.18150526508463438
103,Myanmar,0.24997674625799501
104,Namibia,0.3263463188299101
105,Nepal,0.20932179959811645
106,Netherlands,0.9018276468654659
107,New Zealand,0.878600528424103
108,Nicaragua,0.23971386937826838
109,Niger,0.04298667390644922
110,Nigeria,0.25674051840175405
111,Norway,0.9767321505567178
112,Oman,0.7591568976645259
113,Pakistan,0.14720357906458154
114,Panama,0.5396041394295578
115,Papua New Guinea,0.09384750041103707
116,Paraguay,0.5298586340963654
117,Peru,0.4670802901581425
118,Philippines,0.5531598566587199
119,Poland,0.7379166658217032
120,Portugal,0.7073850132662474
121,Puerto Rico,0.7390731529034976
122,Qatar,0.9128694750626701
123,Romania,0.597327311305078
124,Rwanda,0.20426250542257152
125,Samoa,0.2950111805073637
126,Sao Tome and Principe,0.2754309220723624
127,Saudi Arabia,0.7449481502268069
128,Senegal,0.2638041560331898
129,Seychelles,0.5624702937355429
130,Sierra Leone,0.11881378739712899
131,Singapore,0.846784975896526
132,Slovenia,0.7596722003717116
133,Solomon Islands,0.10645311791191032
134,Somalia,0.018975422493197863
135,South Africa,0.5381919652412634
136,South Sudan,0.07541925640146994
137,Spain,0.803256415186192
138,Sri Lanka,0.31439536857991796
139,Sub-Saharan Africa,0.19329809454794386
140,Sudan,0.2781125211556878
141,Suriname,0.4487597541459546
142,Sweden,0.8887802533183985
143,Switzerland,0.8943702021822122
144,Tajikistan,0.2063862983185125
145,Tanzania,0.13617866953536412
146,Thailand,0.47430705665227774
147,Togo,0.11455213029324289
148,Tonga,0.4231556465248732
149,Trinidad and Tobago,0.7262638977209044
150,Tunisia,0.5003572203901187
151,Turkey,0.5812164492964347
152,Turkmenistan,0.17990870257199634
153,Uganda,0.22891674447315805
154,Ukraine,0.5233342247228037
155,United Arab Emirates,0.8971570284307839
156,United Kingdom,0.9505467023570877
157,United States,0.7596647492181464
158,Uruguay,0.6678539261920977
159,Uzbekistan,0.46201978780390546
160,Vanuatu,0.23316207379729098
161,Vietnam,0.4696200046467955
162,World,0.46045657584322447
163,Zambia,0.2586179111849312
164,Zimbabwe,0.26613387083324125
