Rank,Country,Median Age
1,Monaco,52.4
2,Japan,46.9
3,Germany,46.8
4,Saint Pierre and Miquelon,45.9
5,Virgin Islands of the U.S.,45.6
6,Italy,45.1
7,Greece,44.2
7,San Marino,44.2
9,Slovenia,44.1
10,Hong Kong,44
11,Isle of Man,43.9
12,Austria,43.8
13,Andorra,43.7
14,Guernsey,43.6
14,Saint Barthelemy,43.6
16,Lithuania,43.4
17,Latvia,43.3
18,Bermuda,43.2
19,Liechtenstein,42.9
20,Croatia,42.7
21,Netherlands,42.5
22,Bulgaria,42.4
22,Estonia,42.4
22,Finland,42.4
25,Serbia,42.3
25,Spain,42.3
27,Switzerland,42.2
28,Canada,42
28,Denmark,42
30,Hungary,41.8
30,Portugal,41.8
32,Bosnia and Herzegovina,41.7
32,Czech Republic,41.7
34,Malta,41.5
34,"Saint Helena, Ascension and Tristan da Cunha",41.5
36,Belgium,41.4
37,France,41.2
37,Korea (South),41.2
37,Sweden,41.2
40,Cuba,41.1
41,Romania,40.7
41,Sint Maarten,40.7
43,United Kingdom of Great Britain and Northern Ireland,40.5
44,Ukraine,40.4
45,Poland,40.3
46,Montenegro,40.2
46,Taiwan,40.2
48,Slovakia,40.1
49,Cayman Islands,39.9
50,Belarus,39.8
51,Puerto Rico,39.5
52,Russia,39.3
53,Luxembourg,39.2
54,Aruba,39.1
54,Norway,39.1
56,Macau,38.7
57,Australia,38.6
58,Jersey,38.5
59,Barbados,38.3
60,Georgia,38
61,United States of America,37.9
62,New Zealand,37.8
63,Faroe Islands,37.7
64,Macedonia,37.5
65,Thailand,37.2
66,China,37.1
67,Cyprus,36.4
67,Ireland,36.4
69,Iceland,36.3
69,Moldova,36.3
71,British Virgin Islands,36.2
72,Curacao,36
73,Cook Islands,35.9
74,Trinidad and Tobago,35.5
75,Seychelles,34.9
76,Mauritius,34.8
77,Uruguay,34.7
78,Anguilla,34.6
78,Armenia,34.6
80,Gibraltar,34.5
80,Saint Kitts and Nevis,34.5
82,Singapore,34.3
83,Saint Lucia,34.2
84,Chile,34
85,Greenland,33.8
85,Korea (North),33.8
87,Palau,33.3
88,Dominica,33
88,Qatar,33
88,Saint Vincent and the Grenadines,33
91,Turks and Caicos Islands,32.9
92,Northern Mariana Islands,32.7
93,Montserrat,32.6
94,Albania,32.5
94,Sri Lanka,32.5
96,Tunisia,32.4
97,Saint Martin,32.3
98,Bahrain,32.1
99,Bahamas,31.8
100,New Caledonia,31.7
101,Antigua and Barbuda,31.6
101,Brazil,31.6
101,Wallis and Futuna,31.6
104,Argentina,31.5
104,French Polynesia,31.5
106,Azerbaijan,30.9
106,Costa Rica,30.9
106,Grenada,30.9
109,Turkey,30.5
110,Guam,30.4
111,Kazakhstan,30.3
111,United Arab Emirates,30.3
113,Vietnam,30.1
114,Brunei,29.9
114,Indonesia,29.9
114,Lebanon,29.9
117,Israel,29.7
118,Colombia,29.6
119,Suriname,29.5
120,American Samoa,29.4
120,Iran,29.4
122,Kuwait,29.2
123,Morocco,28.9
123,Panama,28.9
125,Kosovo,28.7
126,Fiji,28.6
126,Myanmar (Burma),28.6
128,Libya,28.5
129,Malaysia,28.2
130,Uzbekistan,28.1
131,Mexico,28
131,Venezuela,28
133,Mongolia,27.9
134,Algeria,27.8
134,Dominican Republic,27.8
134,Maldives,27.8
134,Paraguay,27.8
138,Peru,27.7
139,India,27.6
140,Turkmenistan,27.5
141,Ecuador,27.4
142,Bhutan,27.2
142,Saudi Arabia,27.2
144,South Africa,26.8
145,El Salvador,26.6
146,Bangladesh,26.3
147,Kyrgyzstan,26.2
148,Nauru,26.1
149,Guyana,25.8
150,Jamaica,25.6
151,Tuvalu,25.5
152,Oman,25.4
153,Nicaragua,25.2
154,Cambodia,24.9
154,Cape Verde,24.9
156,Micronesia,24.7
157,Kiribati,24.3
158,Tajikistan,24.2
159,Syria,24.1
160,Bolivia,24
160,Lesotho,24
162,Samoa,23.9
163,Egypt,23.8
164,Nepal,23.6
165,Djibouti,23.5
166,Pakistan,23.4
166,Philippines,23.4
168,Botswana,23.2
169,Papua New Guinea,22.9
170,Laos,22.7
170,Marshall Islands,22.7
172,Haiti,22.6
172,Honduras,22.6
172,Tonga,22.6
175,Belize,22.4
176,Jordan,22.3
177,Solomon Islands,22.2
178,Guatemala,21.7
178,Vanuatu,21.7
180,Swaziland,21.4
181,Western Sahara,21.1
182,Ghana,21
182,Namibia,21
184,Ivory Coast,20.7
184,Gambia,20.7
186,Zimbabwe,20.6
187,Mauritania,20.3
188,Guinea-Bissau,20
189,Iraq,19.9
190,Congo (Republic),19.7
190,Togo,19.7
192,Central African Republic,19.6
192,Comoros,19.6
192,Equatorial Guinea,19.6
192,Sudan,19.6
196,Kenya,19.5
196,Madagascar,19.5
198,Eritrea,19.4
199,Palestinian Territories,19.2
199,Yemen,19.2
201,Rwanda,19
201,Sierra Leone,19
203,East Timor,18.8
203,Guinea,18.8
205,Senegal,18.7
206,Afghanistan,18.6
206,Gabon,18.6
208,Cameroon,18.5
209,Congo (Democratic Republic),18.4
210,Liberia,18.3
210,Nigeria,18.3
212,Angola,18.2
212,Sao Tomo and Principe,18.2
214,Benin,18
215,Somalia,17.9
216,Ethiopia,17.8
217,Chad,17.6
217,Tanzania,17.6
219,Burkina Faso,17.2
220,Mozambique,17.1
220,South Sudan,17.1
222,Burundi,17
223,Zambia,16.7
224,Malawi,16.5
225,Mali,16.2
226,Uganda,15.7
227,Niger,15.3
