Country,Happiness Rank,Happiness Score
Switzerland,1,7.587
Iceland,2,7.561
Denmark,3,7.527
Norway,4,7.522
Canada,5,7.427
Finland,6,7.406
Netherlands,7,7.378
Sweden,8,7.364
New Zealand,9,7.286
Australia,10,7.284
Israel,11,7.278
Costa Rica,12,7.226
Austria,13,7.2
Mexico,14,7.187
United States,15,7.119
Brazil,16,6.983
Luxembourg,17,6.946
Ireland,18,6.94
Belgium,19,6.937
United Arab Emirates,20,6.901
United Kingdom,21,6.867
Oman,22,6.853
Venezuela,23,6.81
Singapore,24,6.798
Panama,25,6.786
Germany,26,6.75
Chile,27,6.67
Qatar,28,6.611
France,29,6.575
Argentina,30,6.574
Czech Republic,31,6.505
Uruguay,32,6.485
Colombia,33,6.477
Thailand,34,6.455
Saudi Arabia,35,6.411
Spain,36,6.329
Malta,37,6.302
Taiwan,38,6.298
Kuwait,39,6.295
Suriname,40,6.269
Trinidad and Tobago,41,6.168
El Salvador,42,6.13
Guatemala,43,6.123
Uzbekistan,44,6.003
Slovakia,45,5.995
Japan,46,5.987
South Korea,47,5.984
Ecuador,48,5.975
Bahrain,49,5.96
Italy,50,5.948
Bolivia,51,5.89
Moldova,52,5.889
Paraguay,53,5.878
Kazakhstan,54,5.855
Slovenia,55,5.848
Lithuania,56,5.833
Nicaragua,57,5.828
Peru,58,5.824
Belarus,59,5.813
Poland,60,5.791
Malaysia,61,5.77
Croatia,62,5.759
Libya,63,5.754
Russia,64,5.716
Jamaica,65,5.709
North Cyprus,66,5.695
Cyprus,67,5.689
Algeria,68,5.605
Kosovo,69,5.589
Turkmenistan,70,5.548
Mauritius,71,5.477
Hong Kong,72,5.474
Estonia,73,5.429
Indonesia,74,5.399
Vietnam,75,5.36
Turkey,76,5.332
Kyrgyzstan,77,5.286
Nigeria,78,5.268
Bhutan,79,5.253
Azerbaijan,80,5.212
Pakistan,81,5.194
Jordan,82,5.192
Montenegro,82,5.192
China,84,5.14
Zambia,85,5.129
Romania,86,5.124
Serbia,87,5.123
Portugal,88,5.102
Latvia,89,5.098
Philippines,90,5.073
Somaliland region,91,5.057
Morocco,92,5.013
Macedonia,93,5.007
Mozambique,94,4.971
Albania,95,4.959
Bosnia and Herzegovina,96,4.949
Lesotho,97,4.898
Dominican Republic,98,4.885
Laos,99,4.876
Mongolia,100,4.874
Swaziland,101,4.867
Greece,102,4.857
Lebanon,103,4.839
Hungary,104,4.8
Honduras,105,4.788
Tajikistan,106,4.786
Tunisia,107,4.739
Palestinian Territories,108,4.715
Bangladesh,109,4.694
Iran,110,4.686
Ukraine,111,4.681
Iraq,112,4.677
South Africa,113,4.642
Ghana,114,4.633
Zimbabwe,115,4.61
Liberia,116,4.571
India,117,4.565
Sudan,118,4.55
Haiti,119,4.518
Congo (Kinshasa),120,4.517
Nepal,121,4.514
Ethiopia,122,4.512
Sierra Leone,123,4.507
Mauritania,124,4.436
Kenya,125,4.419
Djibouti,126,4.369
Armenia,127,4.35
Botswana,128,4.332
Myanmar,129,4.307
Georgia,130,4.297
Malawi,131,4.292
Sri Lanka,132,4.271
Cameroon,133,4.252
Bulgaria,134,4.218
Egypt,135,4.194
Yemen,136,4.077
Angola,137,4.033
Mali,138,3.995
Congo (Brazzaville),139,3.989
Comoros,140,3.956
Uganda,141,3.931
Senegal,142,3.904
Gabon,143,3.896
Niger,144,3.845
Cambodia,145,3.819
Tanzania,146,3.781
Madagascar,147,3.681
Central African Republic,148,3.678
Chad,149,3.667
Guinea,150,3.656
Ivory Coast,151,3.655
Burkina Faso,152,3.587
Afghanistan,153,3.575
Rwanda,154,3.465
Benin,155,3.34
Syria,156,3.006
Burundi,157,2.905
Togo,158,2.839
